metric,scenario,mean,std
density,System Fully Coordinated,5.467388731216001,2.384889091395153
density,Mission Blvd Zero Offset Northbound,2.9437865325180286,0.617862579794215
density,Mission Blvd L/V Coordinated Northbound,3.0435769505914547,0.6580948153483315
flow,System Fully Coordinated,14313.61111111111,2274.787803803894
flow,Mission Blvd Zero Offset Northbound,15214.5,2408.140198865362
flow,Mission Blvd L/V Coordinated Northbound,15164.72222222222,2435.1816836795115
ttime,System Fully Coordinated,78.2067094631656,21.6052128089348
ttime,Mission Blvd Zero Offset Northbound,58.618172909499,5.030886709039915
ttime,Mission Blvd L/V Coordinated Northbound,60.224072635315245,5.849786045053465
speed,System Fully Coordinated,62.69205320779451,8.366567512945727
speed,Mission Blvd Zero Offset Northbound,72.03768469619736,4.4285835759831516
speed,Mission Blvd L/V Coordinated Northbound,71.01119233581981,5.4610690859591315
fuelc,System Fully Coordinated,2056.5919549608698,334.2409866698447
fuelc,Mission Blvd Zero Offset Northbound,2440.7797047457484,489.8072111283951
fuelc,Mission Blvd L/V Coordinated Northbound,2447.956383371015,508.5828833271022
batteryc,System Fully Coordinated,0.0,0.0
batteryc,Mission Blvd Zero Offset Northbound,0.0,0.0
batteryc,Mission Blvd L/V Coordinated Northbound,0.0,0.0
travel,System Fully Coordinated,27215.89510172597,3565.152616138366
travel,Mission Blvd Zero Offset Northbound,27944.89451944211,4337.920417995532
travel,Mission Blvd L/V Coordinated Northbound,27848.923406208225,4409.784665719283
queue_delay,System Fully Coordinated,14.22937973703271,4.475889346496393
queue_delay,Mission Blvd Zero Offset Northbound,9.260177079340831,1.7222968903200448
queue_delay,Mission Blvd L/V Coordinated Northbound,9.458788166549486,1.7158362016933029
queue_length,System Fully Coordinated,2.330364617903447,1.4854798658588448
queue_length,Mission Blvd Zero Offset Northbound,0.7755796827293243,0.2095124480422963
queue_length,Mission Blvd L/V Coordinated Northbound,0.7830853798840657,0.23376032315178596
queued_vehicles,System Fully Coordinated,21.12322094620742,4.571558649856732
queued_vehicles,Mission Blvd Zero Offset Northbound,15.703403950308134,2.609741252727823
queued_vehicles,Mission Blvd L/V Coordinated Northbound,15.615211203040127,2.6830088734961106
nbstops,System Fully Coordinated,0.33962278086472186,0.05143533885730054
nbstops,Mission Blvd Zero Offset Northbound,0.3368867839321746,0.043070132430827086
nbstops,Mission Blvd L/V Coordinated Northbound,0.3341058402735652,0.045498144140755946
input_count,System Fully Coordinated,3801.8333333333335,547.2410026449458
input_count,Mission Blvd Zero Offset Northbound,3848.7291666666665,561.0721487196104
input_count,Mission Blvd L/V Coordinated Northbound,3840.0277777777774,562.0761627407954
totalWaitingTime,System Fully Coordinated,63.53842813392773,81.32105075884691
totalWaitingTime,Mission Blvd Zero Offset Northbound,0.0005239948280276055,0.0009222999887595453
totalWaitingTime,Mission Blvd L/V Coordinated Northbound,0.0007514353331029549,0.0018139562691866686
vWait,System Fully Coordinated,338.55555555555554,403.44557866413567
vWait,Mission Blvd Zero Offset Northbound,1.1666666666666667,1.148407845545364
vWait,Mission Blvd L/V Coordinated Northbound,0.9583333333333335,0.897191000189623
