,label,mean,std,interval
0,System Fully Uncoordinated,9.448707127874147,228.2143878899992,9.448707127874147 ± 456.4287757799984
1,System Fully Coordinated,9.445284375368797,216.79726413241718,9.445284375368797 ± 433.59452826483437
2,Mission Blvd L/V Coordinated Northbound,10.811573463103985,244.8082555669386,10.811573463103985 ± 489.6165111338772
