,label,mean,std,interval
0,System Fully Uncoordinated,2.887829826808754,28.10103328731401,2.887829826808754 ± 56.20206657462802
1,System Fully Coordinated,3.278777363878259,64.81584720799626,3.278777363878259 ± 129.6316944159925
2,Mission Blvd L/V Coordinated Northbound,1.907630871037965,21.808203618882615,1.907630871037965 ± 43.61640723776523
