,label,mean,std,interval
0,System Fully Uncoordinated,62.97052271333571,457.6249266985076,62.97052271333571 ± 915.2498533970152
1,System Fully Coordinated,66.83728881184142,448.712786154825,66.83728881184142 ± 897.42557230965
2,Mission Blvd L/V Coordinated Northbound,70.75876083351163,504.2270240899033,70.75876083351163 ± 1008.4540481798066
