,label,mean,std,interval
0,System Fully Uncoordinated,134.01886164911926,362.591444099036,134.01886164911926 ± 725.182888198072
1,System Fully Coordinated,143.01978145674892,356.75427496417456,143.01978145674892 ± 713.5085499283491
2,Mission Blvd L/V Coordinated Northbound,148.7784128909175,395.33749699245095,148.7784128909175 ± 790.6749939849019
