,label,mean,std,interval
0,System Fully Uncoordinated,44.5301905950726,14.43829825015443,44.5301905950726 ± 28.87659650030886
1,System Fully Coordinated,44.79913076127954,14.565409431233231,44.79913076127954 ± 29.130818862466462
2,Mission Blvd L/V Coordinated Northbound,46.60607628262999,15.712641328322336,46.60607628262999 ± 31.425282656644672
