,label,mean,std,interval
0,System Fully Uncoordinated,2.5238932511376224,6.583829848891574,2.5238932511376224 ± 13.167659697783147
1,System Fully Coordinated,2.7793773144848424,7.771530373702971,2.7793773144848424 ± 15.543060747405942
2,Mission Blvd L/V Coordinated Northbound,1.991571106012284,5.793484983931815,1.991571106012284 ± 11.58696996786363
