,label,mean,std,interval
0,System Fully Uncoordinated,8.706061598979858,28.767979613397916,8.706061598979858 ± 57.53595922679583
1,System Fully Coordinated,9.106072923959541,65.13736821666508,9.106072923959541 ± 130.27473643333016
2,Mission Blvd L/V Coordinated Northbound,7.395841694773981,22.614575386397878,7.395841694773981 ± 45.229150772795755
