,meso_uncoordinated_averaged,meso_uncoordinated_averaged,meso_mission_nooffset_averaged,meso_mission_nooffset_averaged,meso_lv_mission_nb_averaged,meso_lv_mission_nb_averaged
,i680_nb_route1,mission_nb_route2,i680_nb_route1,mission_nb_route2,i680_nb_route1,mission_nb_route2
14:00,-46.76923076923049,-69.26315789473684,-63.07692307692287,-21.824561403508795,-52.820512820512704,-31.2748538011696
14:15,123.5897435897441,-158.4093567251462,15.794871794872051,8.95906432748535,50.7692307692314,9.192982456140385
14:30,112.0,-216.21052631578948,-132.4102564102568,-1.5204678362573532,-40.30769230769238,-6.222222222222285
14:45,93.94871794871779,-310.3157894736843,-24.0,29.35672514619887,22.87179487179492,61.052631578947285
15:00,362.25641025641016,-299.6023391812866,71.07692307692287,60.257309941520475,74.05128205128221,32.842105263157805
15:15,84.92307692307713,-318.4327485380117,-122.0512820512813,24.257309941520475,-81.02564102564065,-28.467836257309955
15:30,82.97435897435844,-279.3216374269007,-108.10256410256443,59.32163742690045,-15.487179487179674,40.116959064327375
15:45,102.25641025641016,-241.8245614035087,-195.1794871794864,62.17543859649129,-129.74358974358984,-5.169590643274773
16:00,153.33333333333394,-246.69005847953218,-12.410256410255897,84.14035087719299,-7.692307692307622,25.801169590643212
16:15,-100.51282051282033,-340.3742690058479,-157.33333333333212,57.076023391812896,26.358974358974592,-14.315789473684163
16:30,5.025641025641562,-300.09356725146205,-101.53846153846098,70.40935672514627,-199.28205128205082,2.1286549707602944
16:45,148.61538461538476,-286.5497076023392,-82.25641025641016,137.63742690058484,-79.5897435897441,26.26900584795328
17:00,58.76923076923049,-264.9122807017543,-143.28205128205173,145.19298245614038,-50.56410256410254,38.853801169590724
17:15,166.87179487179492,-204.79532163742687,-32.30769230769238,210.66666666666663,-117.33333333333394,51.39181286549717
17:30,190.97435897435935,-227.27485380116968,5.435897435898369,162.0584795321637,-35.487179487178764,79.9298245614035
17:45,280.4102564102568,-176.701754385965,-51.384615384615245,141.30994152046776,65.43589743589746,80.79532163742681
18:00,155.38461538461615,-204.18713450292398,56.82051282051361,127.69590643274853,-45.43589743589746,88.14035087719299
18:15,182.25641025641107,-128.25730994152042,-66.76923076923049,153.19298245614038,-42.25641025641016,137.23976608187138
18:30,193.2307692307686,-185.63742690058473,-68.4102564102559,140.23391812865498,67.5897435897441,106.99415204678371
18:45,237.43589743589837,-286.2690058479532,-219.48717948717967,111.90643274853801,-114.46153846153811,15.812865497076018
19:00,303.6923076923076,-243.43859649122805,-23.89743589743557,39.83625730994157,1.1282051282050816,55.5555555555556
19:15,272.7179487179483,-373.68421052631584,-86.87179487179492,-67.0643274853802,-68.0,-67.53216374269005
19:30,235.89743589743603,-269.9415204678362,-34.46153846153857,49.98830409356731,-90.25641025641062,-28.070175438596493
19:45,339.58974358974365,-249.16959064327486,-36.615384615384755,23.48538011695905,167.17948717948684,-5.5906432748537895
